2017-11-01 09:28:22.377UTC INFO  success - OK 200 [btcusd] BODY[[{"period":1,"volume":"49677.01796398"},{"period":7,"volume":"285742.89008823"},{"period":30,"volume":"1336562.03832662"}]]
2017-11-01 09:28:22.377UTC INFO  success - OK 200 [omgusd] BODY[[{"period":1,"volume":"1105286.86306688"},{"period":7,"volume":"4301588.31021568"},{"period":30,"volume":"25537631.57037849"}]]
2017-11-01 09:30:45.898UTC INFO  success - OK 200 [ethusd] BODY[[{"period":1,"volume":"91881.9128384"},{"period":7,"volume":"628342.18996236"},{"period":30,"volume":"4364763.09204557"}]]
2017-11-01 09:30:45.904UTC INFO  success - OK 200 [btcusd] BODY[[{"period":1,"volume":"49677.01796398"},{"period":7,"volume":"285742.89008823"},{"period":30,"volume":"1336562.03832662"}]]
2017-11-01 09:30:45.941UTC INFO  success - OK 200 [omgusd] BODY[[{"period":1,"volume":"1105286.86306688"},{"period":7,"volume":"4301588.31021568"},{"period":30,"volume":"25537631.57037849"}]]
2017-11-01 09:32:18.591UTC INFO  success - OK 200 [omgusd] BODY[[{"period":1,"volume":"1105286.86306688"},{"period":7,"volume":"4301588.31021568"},{"period":30,"volume":"25537631.57037849"}]]
2017-11-01 09:32:18.616UTC INFO  success - OK 200 [btcusd] BODY[[{"period":1,"volume":"49677.01796398"},{"period":7,"volume":"285742.89008823"},{"period":30,"volume":"1336562.03832662"}]]
2017-11-01 09:32:18.648UTC INFO  success - OK 200 [ethusd] BODY[[{"period":1,"volume":"91881.9128384"},{"period":7,"volume":"628342.18996236"},{"period":30,"volume":"4364763.09204557"}]]
2017-11-01 09:36:07.899UTC INFO  success - OK 200 [btcusd] BODY[[{"period":1,"volume":"49677.01796398"},{"period":7,"volume":"285742.89008823"},{"period":30,"volume":"1336562.03832662"}]]
2017-11-01 09:36:07.899UTC INFO  success - OK 200 [ethusd] BODY[[{"period":1,"volume":"91881.9128384"},{"period":7,"volume":"628342.18996236"},{"period":30,"volume":"4364763.09204557"}]]
2017-11-01 09:36:08.231UTC INFO  success - OK 200 [omgusd] BODY[[{"period":1,"volume":"1105286.86306688"},{"period":7,"volume":"4301588.31021568"},{"period":30,"volume":"25537631.57037849"}]]
2017-11-01 09:40:02.367UTC INFO  success - OK 200 [btcusd] BODY[[{"period":1,"volume":"49677.01796398"},{"period":7,"volume":"285742.89008823"},{"period":30,"volume":"1336562.03832662"}]]
2017-11-01 09:40:02.367UTC INFO  success - OK 200 [omgusd] BODY[[{"period":1,"volume":"1105286.86306688"},{"period":7,"volume":"4301588.31021568"},{"period":30,"volume":"25537631.57037849"}]]
2017-11-01 09:40:02.367UTC INFO  success - OK 200 [ethusd] BODY[[{"period":1,"volume":"91881.9128384"},{"period":7,"volume":"628342.18996236"},{"period":30,"volume":"4364763.09204557"}]]
2017-11-01 09:41:04.358UTC INFO  success - OK 200 [ethusd] BODY[[{"period":1,"volume":"91881.9128384"},{"period":7,"volume":"628342.18996236"},{"period":30,"volume":"4364763.09204557"}]]
2017-11-01 09:41:04.357UTC INFO  success - OK 200 [btcusd] BODY[[{"period":1,"volume":"49677.01796398"},{"period":7,"volume":"285742.89008823"},{"period":30,"volume":"1336562.03832662"}]]
2017-11-01 09:41:04.410UTC INFO  success - OK 200 [omgusd] BODY[[{"period":1,"volume":"1105286.86306688"},{"period":7,"volume":"4301588.31021568"},{"period":30,"volume":"25537631.57037849"}]]
2017-11-01 09:43:05.801UTC INFO  success - OK 200 [omgusd] BODY[[{"period":1,"volume":"1105286.86306688"},{"period":7,"volume":"4301588.31021568"},{"period":30,"volume":"25537631.57037849"}]]
2017-11-01 09:43:05.801UTC INFO  success - OK 200 [ethusd] BODY[[{"period":1,"volume":"91881.9128384"},{"period":7,"volume":"628342.18996236"},{"period":30,"volume":"4364763.09204557"}]]
2017-11-01 09:43:07.944UTC INFO  success - OK 200 [btcusd] BODY[[{"period":1,"volume":"49677.01796398"},{"period":7,"volume":"285742.89008823"},{"period":30,"volume":"1336562.03832662"}]]
2017-11-01 09:47:30.253UTC INFO  success - OK 200 [ethusd] BODY[[{"period":1,"volume":"93029.20319776"},{"period":7,"volume":"629121.03490724"},{"period":30,"volume":"4365749.91351054"}]]
2017-11-01 09:47:30.253UTC INFO  success - OK 200 [omgusd] BODY[[{"period":1,"volume":"1184635.53479397"},{"period":7,"volume":"4378960.21497175"},{"period":30,"volume":"25608261.81569435"}]]
2017-11-01 09:47:32.293UTC INFO  success - OK 200 [btcusd] BODY[[{"period":1,"volume":"51348.19844454"},{"period":7,"volume":"287163.71124369"},{"period":30,"volume":"1338154.07949172"}]]
2017-11-01 09:52:49.197UTC INFO  success - Status OK 200 [omgusd] BODY[[{"period":1,"volume":"1184635.53479397"},{"period":7,"volume":"4378960.21497175"},{"period":30,"volume":"25608261.81569435"}]]
2017-11-01 09:52:49.198UTC INFO  success - Status OK 200 [ethusd] BODY[[{"period":1,"volume":"93029.20319776"},{"period":7,"volume":"629121.03490724"},{"period":30,"volume":"4365749.91351054"}]]
2017-11-01 09:52:49.665UTC INFO  success - Status OK 200 [btcusd] BODY[[{"period":1,"volume":"51348.19844454"},{"period":7,"volume":"287163.71124369"},{"period":30,"volume":"1338154.07949172"}]]
2017-11-01 10:53:04.532UTC INFO  success - OK 200 [omgusd] BODY[[{"period":1,"volume":"1372770.58738735"},{"period":7,"volume":"4551782.28116811"},{"period":30,"volume":"25770458.54406212"}]]
2017-11-01 10:53:04.532UTC INFO  success - OK 200 [ethusd] BODY[[{"period":1,"volume":"99091.09380044"},{"period":7,"volume":"634082.21278563"},{"period":30,"volume":"4369925.85144979"}]]
2017-11-01 10:53:40.167UTC INFO  success - Status OK 200 [omgusd] BODY[[{"period":1,"volume":"1372770.58738735"},{"period":7,"volume":"4551782.28116811"},{"period":30,"volume":"25770458.54406212"}]]
2017-11-01 10:53:40.167UTC INFO  success - Status OK 200 [ethusd] BODY[[{"period":1,"volume":"99091.09380044"},{"period":7,"volume":"634082.21278563"},{"period":30,"volume":"4369925.85144979"}]]
2017-11-01 10:53:40.262UTC INFO  success - Status OK 200 [btcusd] BODY[[{"period":1,"volume":"53104.58998441"},{"period":7,"volume":"288969.91376299"},{"period":30,"volume":"1339567.31511225"}]]
